Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
01.06.2017-00:00,4.8,0,1012.8,-7.5,8.9,55,0.0
01.06.2017-01:00,4.3,0,1013.7,-7.9,7.9,56,0.0
01.06.2017-02:00,0.7,0,1014.7,-8.2,5.8,66,0.0
01.06.2017-03:00,0.7,0,1015.2,-7.3,4.4,78,0.0
01.06.2017-04:00,0.4,0,1015.8,0.9,3.6,80,0.0
01.06.2017-05:00,0.5,26,1016.0,55.8,6.1,69,0.0
01.06.2017-06:00,0.7,60,1016.1,198.5,8.8,54,0.0
01.06.2017-07:00,1.6,60,1016.3,333.2,10.6,44,19.6667
01.06.2017-08:00,2.4,60,1016.2,469.8,11.8,42,266.0
01.06.2017-09:00,3.1,60,1016.0,595.4,12.9,39,1600.8333
01.06.2017-10:00,2.5,60,1015.8,703.4,14.5,30,3509.8332
01.06.2017-11:00,4.0,60,1015.5,783.7,15.0,33,5101.1666
01.06.2017-12:00,3.2,60,1015.2,827.3,16.2,30,6445.3332
01.06.2017-13:00,3.4,60,1014.5,839.8,16.7,29,7414.1666
01.06.2017-14:00,3.8,60,1013.8,798.1,17.6,30,7701.0
01.06.2017-15:00,2.9,60,1013.3,719.3,17.8,28,7220.1666
01.06.2017-16:00,4.5,60,1013.4,617.7,17.1,43,6981.8332
01.06.2017-17:00,4.5,60,1013.3,529.2,16.5,46,5551.0
01.06.2017-18:00,4.8,60,1013.2,365.0,15.4,46,4600.6666
01.06.2017-19:00,4.0,22,1013.4,172.5,14.3,59,2400.0
01.06.2017-20:00,1.9,0,1013.8,69.4,13.1,67,900.8333
01.06.2017-21:00,0.6,0,1014.3,16.6,11.9,77,287.6667
01.06.2017-22:00,1.2,0,1014.9,-5.9,11.2,80,40.1667
01.06.2017-23:00,1.7,0,1015.5,-7.4,10.7,77,0.0
02.06.2017-00:00,3.4,0,1016.1,-7.4,11.1,56,0.0
02.06.2017-01:00,3.7,0,1016.3,-6.9,10.7,50,0.0
02.06.2017-02:00,4.5,0,1016.6,-6.9,10.2,47,0.0
02.06.2017-03:00,3.7,0,1017.0,-6.1,9.7,49,0.0
02.06.2017-04:00,3.8,0,1017.7,-0.6,9.3,51,0.0
02.06.2017-05:00,2.4,0,1018.4,16.4,9.1,52,0.0
02.06.2017-06:00,1.4,0,1018.9,45.6,9.2,53,72.5
02.06.2017-07:00,2.3,0,1019.4,79.7,9.4,52,427.3333
02.06.2017-08:00,2.0,0,1019.7,182.5,9.9,51,765.6666
02.06.2017-09:00,1.6,52,1019.8,424.4,11.1,47,1348.3333
02.06.2017-10:00,2.2,0,1020.0,340.3,10.7,45,2258.8333
02.06.2017-11:00,2.0,0,1020.1,402.3,11.4,44,2791.6667
02.06.2017-12:00,1.3,0,1019.9,393.4,12.2,41,2752.1667
02.06.2017-13:00,1.3,0,1019.8,364.0,11.9,43,3812.1666
02.06.2017-14:00,2.3,6,1019.7,369.2,12.8,49,3986.9999
02.06.2017-15:00,2.5,0,1019.7,322.4,11.8,52,4497.6668
02.06.2017-16:00,2.9,0,1019.7,224.5,11.1,62,3791.6667
02.06.2017-17:00,2.6,0,1019.4,189.8,10.5,68,2059.8334
02.06.2017-18:00,3.6,0,1019.3,199.5,10.4,72,1332.0
02.06.2017-19:00,2.6,0,1019.1,112.6,10.1,74,1115.3333
02.06.2017-20:00,2.2,0,1018.7,39.4,9.9,78,579.6667
02.06.2017-21:00,2.1,0,1018.5,2.4,9.3,88,206.8333
02.06.2017-22:00,2.3,0,1018.3,-6.5,8.9,91,2.8333
02.06.2017-23:00,1.9,0,1017.8,-7.1,8.8,93,0.0
03.06.2017-00:00,1.7,0,1017.6,-6.8,8.7,94,0.0
03.06.2017-01:00,2.3,0,1017.3,-6.6,8.8,94,0.0
03.06.2017-02:00,2.8,0,1017.0,-5.6,8.9,93,0.0
03.06.2017-03:00,2.8,0,1016.9,-5.8,8.9,93,0.0
03.06.2017-04:00,2.5,0,1016.6,-4.4,8.7,96,0.0
03.06.2017-05:00,1.3,0,1016.3,3.0,8.7,99,0.0
03.06.2017-06:00,1.9,0,1016.1,21.9,8.9,97,0.0
03.06.2017-07:00,1.6,0,1016.0,56.8,9.5,94,356.8333
03.06.2017-08:00,2.6,0,1016.1,85.1,10.1,92,745.0001
03.06.2017-09:00,1.4,8,1015.9,290.6,11.5,81,860.4999
03.06.2017-10:00,1.9,4,1015.5,259.9,12.1,78,1002.0
03.06.2017-11:00,0.9,0,1015.3,256.8,11.9,76,1016.8333
03.06.2017-12:00,1.2,0,1015.1,185.8,12.2,78,1029.0
03.06.2017-13:00,1.3,0,1014.8,212.4,13.1,79,815.1666
03.06.2017-14:00,1.3,0,1014.6,135.2,12.7,79,692.3334
03.06.2017-15:00,2.0,0,1014.6,108.5,12.6,84,572.9999
03.06.2017-16:00,2.0,0,1014.0,105.9,12.2,94,488.3334
03.06.2017-17:00,1.0,0,1013.4,94.1,12.5,92,580.8333
03.06.2017-18:00,1.1,0,1012.9,71.3,12.7,88,440.3333
03.06.2017-19:00,1.5,0,1012.7,40.0,12.6,89,289.3334
03.06.2017-20:00,1.6,0,1012.6,19.4,12.7,91,244.6666
03.06.2017-21:00,1.1,0,1012.3,11.4,12.7,92,125.8333
03.06.2017-22:00,0.7,0,1012.1,-6.5,12.6,94,11.3333
03.06.2017-23:00,1.5,0,1011.8,-7.1,12.4,95,0.0
04.06.2017-00:00,0.9,0,1011.5,-7.8,12.3,95,0.0
04.06.2017-01:00,1.9,0,1011.3,-7.5,12.4,94,0.0
04.06.2017-02:00,1.5,0,1010.9,-7.0,12.5,93,0.0
04.06.2017-03:00,1.7,0,1010.4,-6.7,12.5,94,0.0
04.06.2017-04:00,1.5,0,1010.1,-3.6,12.4,96,0.0
04.06.2017-05:00,1.5,0,1009.6,7.5,12.5,94,0.0
